category,item,serving_size,calories,calories_from_fat,total_fat,total_fat_pct_dv,saturated_fat,saturated_fat_pct_dv,trans_fat,cholesterol,cholesterol_pct_dv,sodium,sodium_pct_dv,carbohydrates,carbohydrates_pct_dv,dietary_fiber,dietary_fiber_pct_dv,sugars,protein,vitamin_a_pct_dv,vitamin_c_pct_dv,calcium_pct_dv,iron_pct_dv,serving_weight_g,calorie_density,high_sugar_spike,protein_100g,category_encoded,item_encoded
Smoothies & Shakes,Strawberry Banana Smoothie (Large),22 fl oz cup,0.16890080428954424,10,0.00847457627118644,2,0.5,3,0.0,5,2,0.022222222222222223,3,0.5109489051094891,25,4,16,70,0.05747126436781609,0,45,10,4,0.4351701782820097,1.1092436974789917,Yes,1.680672268907563,5,128
Smoothies & Shakes,Mango Pineapple Smoothie (Small),12 fl oz cup,0.10455764075067024,5,0.00423728813559322,1,0.0,0,0.0,5,1,0.011111111111111112,2,0.3357664233576642,17,1,4,46,0.022988505747126436,30,20,8,2,0.4351701782820097,0.7058823529411765,Yes,0.6722689075630253,5,65
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),16 fl oz cup,0.13136729222520108,10,0.00847457627118644,1,0.0,0,0.0,5,1,0.0125,2,0.41605839416058393,20,1,5,56,0.034482758620689655,40,25,8,2,0.4351701782820097,0.8739495798319328,Yes,1.0084033613445378,5,64
Smoothies & Shakes,Mango Pineapple Smoothie (Large),22 fl oz cup,0.1742627345844504,10,0.00847457627118644,2,0.5,3,0.0,5,2,0.016666666666666666,3,0.5401459854014599,26,2,6,72,0.04597701149425287,50,30,10,2,0.4351701782820097,1.1428571428571428,Yes,1.3445378151260505,5,63
Smoothies & Shakes,Vanilla Shake (Small),12 fl oz cup,0.2761394101876676,140,0.1271186440677966,24,10.0,49,1.0,60,20,0.044444444444444446,7,0.5985401459854015,29,0,0,63,0.12643678160919541,20,0,40,0,0.4351701782820097,1.781512605042017,Yes,3.697478991596639,5,137
Smoothies & Shakes,Vanilla Shake (Medium),16 fl oz cup,0.34584450402144773,170,0.16101694915254236,29,12.0,61,1.0,75,24,0.05555555555555555,9,0.7664233576642336,36,0,0,81,0.16091954022988506,25,0,50,0,0.4351701782820097,2.2184873949579833,Yes,4.705882352941177,5,136
Smoothies & Shakes,Vanilla Shake (Large),22 fl oz cup,0.43163538873994645,210,0.19491525423728814,35,15.0,73,1.0,90,29,0.07222222222222222,11,0.9562043795620438,45,0,0,101,0.20689655172413793,30,0,60,0,0.4351701782820097,2.7563025210084033,Yes,6.050420168067227,5,135
Smoothies & Shakes,Strawberry Shake (Small),12 fl oz cup,0.2868632707774799,150,0.13559322033898305,25,10.0,52,1.0,60,21,0.044444444444444446,7,0.6277372262773723,30,0,0,79,0.13793103448275862,20,0,40,0,0.4351701782820097,1.8487394957983194,Yes,4.033613445378151,5,133
Smoothies & Shakes,Strawberry Shake (Medium),16 fl oz cup,0.36193029490616624,180,0.1694915254237288,30,13.0,63,1.0,75,25,0.058333333333333334,9,0.8029197080291971,38,0,0,100,0.1724137931034483,25,0,50,0,0.4351701782820097,2.319327731092437,Yes,5.042016806722689,5,132
Smoothies & Shakes,Strawberry Shake (Large),22 fl oz cup,0.4477211796246649,210,0.2033898305084746,36,15.0,75,1.0,90,30,0.07222222222222222,11,0.9927007299270072,47,0,0,123,0.20689655172413793,30,0,70,0,0.4351701782820097,2.857142857142857,Yes,6.050420168067227,5,131
